createdAt,amount,originRate
2015-03-21T19:05:03.013Z,1.00,1.00
2015-03-21T19:04:57.305Z,1.00,1.00
2015-03-21T19:04:52.097Z,1.00,1.00
2015-03-21T19:04:38.127Z,1.00,1.00
2015-03-21T19:04:20.243Z,1.00,1.00
2015-03-21T19:04:12.941Z,1.00,1.00
2015-03-21T19:04:00.226Z,1.00,1.00
2015-03-21T19:03:44.471Z,1.00,1.00
2015-03-21T19:03:37.442Z,1.00,1.00
2015-03-21T19:03:30.716Z,1.00,1.00
2015-03-21T19:03:22.866Z,1.00,1.00
2015-03-21T19:03:07.566Z,1.00,1.00
2015-03-21T19:03:01.111Z,1.00,1.00
2015-03-21T19:02:53.076Z,1.00,1.00
2015-03-21T19:02:46.049Z,1.00,1.00
2015-03-21T19:02:36.380Z,1.00,1.00
2015-03-21T19:02:01.384Z,1.00,1.00
2015-03-21T19:01:55.043Z,1.00,1.00
2015-03-21T19:01:50.080Z,1.00,1.00
2015-03-21T19:01:44.241Z,1.00,1.00
2015-03-21T19:01:38.020Z,1.00,1.00
2015-03-21T19:01:28.383Z,1.00,1.00
2015-03-21T19:01:18.479Z,1.00,1.00
2015-03-21T19:01:12.746Z,1.00,1.00
2015-03-21T19:01:05.670Z,0.05766514,17.34150
2015-03-21T19:00:59.761Z,0.92,1.08205
2015-03-21T19:00:46.969Z,1.00,1.00
2015-03-21T19:00:37.597Z,1.00,1.00
